category,type,subcategory,url
Women,Co-ords,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/co-ords/
Women,Work shirts,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/work-shirts/
Women,Skirts,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/skirts/
Women,Work Shoes,Suits & Workwear,https://www.marksandspencer.com/ae/l/women/suits-and-workwear/work-shoes/
Women,Bikini & Tankini Sets,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/bikini-and-tankini-sets/
Women,Swimsuits,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/swimsuits/
Women,Mix & Match Swimwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/mix-and-match-swimwear/
Women,Beachwear & Cover-ups,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/beachwear-and-cover-ups/
Women,DD+ Swimwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/dd-swimwear/
Women,Longer Length Swimwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/longer-length-swimwear/
Women,Post Surgery Swimwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/post-surgery-swimwear/
Women,Tummy Control Swimwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/tummy-control-swimwear/
Women,Bikinis,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/bikinis/
Women,Tankinis,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/tankinis/
Women,View All Beachwear,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/view-all-beachwear/
Women,Beach Dresses,Swim & Beachwear,https://www.marksandspencer.com/ae/l/women/swim-and-beachwear/beach-dresses/
Women,Casual Tops,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/casual-tops/
Women,Essential T-shirts,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/essential-t-shirts/
Women,Smart Tops,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/smart-tops/
Women,Going out tops,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/going-out-tops/
Women,Holiday tops,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/holiday-tops/
Women,Printed tops,Tops & T-Shirts,https://www.marksandspencer.com/ae/l/women/tops-and-t-shirts/printed-tops/
Women,Chinos,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/chinos/
Women,Shorts,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/shorts/
Women,Shorts,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/shorts-2/
Women,Linen,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/linen/
Women,Patterened & Print Trousers,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/patterened-and-print-trousers/
Women,Summer Trousers,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/summer-trousers/
Women,Work Trousers,Trousers,https://www.marksandspencer.com/ae/l/women/trousers/work-trousers/
Women,Jumpers,Cashmere,https://www.marksandspencer.com/ae/l/women/cashmere-3/jumpers/
